"API Name","Action","Populated On(Total Record)","Is Required?","Type","Label"
"Lead_Stage__c","keep","1240.0","False","STRING","Lead Stage"
"Legacy_Id__c","keep","7237.0","False","STRING","Legacy Id"
"Level1__c","remove_zero_populated_not_required","0.0","False","STRING","*Level1"
"Level2__c","remove_zero_populated_not_required","0.0","False","STRING","*Level2"
"Level3__c","remove_zero_populated_not_required","0.0","False","STRING","*Level3"
"Level4__c","keep","1748.0","False","STRING","*Level4"
"Level5__c","keep","1747.0","False","STRING","*Level5"
"Level6__c","keep","1624.0","False","STRING","*Level6"
"Level7__c","remove_zero_populated_not_required","0.0","False","STRING","*Level7"
"Local_Name__c","keep","54611.0","False","STRING","Local Name"
"Lock_Down_End_Date__c","keep","71.0","False","DATE","Lock Down End Date"
"Lock_Down_Start_Date__c","keep","90.0","False","DATE","Lock Down Start Date"
"Loss_further_info_text__c","keep","1.0","False","STRING","Loss further info (text)"
"Lost_Reason_CAT__c","keep","58186.0","False","STRING","Won/Lost Reason"
"Lost_To__c","keep","48241.0","False","STRING","Won / Lost To"
"MBD_Acrion_Count__c","keep","61766.0","False","DOUBLE","MBD Acrion Count"
"MBD_Equipment_product_count__c","keep","61770.0","False","DOUBLE","MBD Equipment product count"
"MBD_Instruments_count__c","keep","61802.0","False","DOUBLE","Instruments Count"
"MBD_Region__c","keep","62187.0","False","STRING","MBD Region"
"MBD_WASP_Instruments__c","keep","61766.0","False","DOUBLE","MBD WASP Instruments"
"MBD_Wasplab_count__c","keep","61766.0","False","DOUBLE","MBD Wasplab count"
"MH_Competitors__c","keep","48.0","False","STRING","MH Competitors"
"Manager_Review__c","keep","45834.0","False","STRING","Manager Review"
"Manual_Renewal_Adjustment_one_year__c","remove_zero_populated_not_required","0.0","False","DOUBLE","Manual Renewal Adjustment (one year)"
"Mindray_BA_800M__c","remove_zero_populated_not_required","0.0","False","DOUBLE","Mindray BA-800M (Qty)"
"Mindray_BS_480__c","remove_zero_populated_not_required","0.0","False","DOUBLE","Mindray BS-480 (Qty)"
"Model_Won__c","keep","8.0","False","STRING","Won Model"
"Model__c","remove_zero_populated_not_required","0.0","False","STRING","Model"
"Model_of_Current_Brand__c","keep","1.0","False","STRING","Model of Current Brand"
"Month_Expected_Purchase__c","remove_zero_populated_not_required","0.0","False","DOUBLE","Month Expected Purchase"
"Monthly_Reagent_Trail__c","keep","30238.0","False","DOUBLE","Monthly Reagent Trail"
"My_Position_vs_Competition__c","remove_zero_populated_not_required","0.0","False","STRING","My Position vs. Competition"
"National_Reference_Lab__c","keep","40.0","False","STRING","National Reference Lab"
"Net_Revenue__c","keep","62266.0","False","DOUBLE(Formula)","Net Revenue"
"No_of_Samples__c","keep","1.0","False","DOUBLE","No. of Samples"
"Number_of_Consumable_Products__c","keep","61766.0","False","DOUBLE","Number of Consumable Products"
"Number_of_Days_to_Year_End__c","keep","62266.0","False","DOUBLE(Formula)","Number of Days to Year End"
"Number_of_Instrument_Products__c","keep","61766.0","False","DOUBLE","Number of Instrument Products"
"Number_of_Loci__c","remove_zero_populated_not_required","0.0","False","DOUBLE","Current Number of Loci"
"Number_of_Schedules__c","keep","62262.0","False","DOUBLE","Number of Schedules"
"On_Site__c","remove_zero_populated_not_required","0.0","False","BOOLEAN","On-Site?"
"One_Time_Profit_Amount__c","keep","62262.0","False","DOUBLE","One Time Profit Amount"
"One_Time_Revenue_Amount__c","keep","62262.0","False","DOUBLE","One Time Revenue Amount"
"Opp_Product_Count_with_AST__c","keep","61883.0","False","DOUBLE","Opp Product Count with AST"
"Opportunity_Country__c","keep","41991.0","False","STRING(Formula)","Opportunity Country"
"Opportunity_Country_text__c","keep","62194.0","False","STRING","Opportunity Country"
"Opportunity_Duration__c","keep","62266.0","False","DOUBLE(Formula)","Opportunity Duration"
"Opportunity_ID__c","keep","62266.0","True","STRING","Opportunity ID"
"Opportunity_Monthly_Value__c","keep","31325.0","False","DOUBLE(Formula)","Opportunity Monthly Value"
"Opportunity_Name_English__c","keep","1036.0","False","STRING","Opportunity Name (English)"
"Opportunity_Owner_ID__c","keep","62266.0","False","STRING(Formula)","Opportunity Owner ID"
"Opportunity_Owner_Manager__c","keep","60338.0","False","STRING(Formula)","Opportunity Owner Manager"
"Opportunity_Plan_Needed__c","remove_zero_populated_not_required","0.0","False","BOOLEAN","Opportunity Plan Needed"
"Opportunity_Plan__c","keep","62220.0","True","STRING","Opportunity Plan"
"Opportunity_Product_Count__c","keep","62260.0","False","DOUBLE","Opportunity Product Count"
"Opportunity_Record_Count__c","keep","62266.0","False","DOUBLE(Formula)","Opportunity Record Count"
"Opportunity_Type__c","keep","4045.0","False","STRING","Opportunity Type"
"Opportunity_Users_List__c","keep","750.0","False","STRING","Opportunity Users List"
"Opportunity_Yearly_Value__c","keep","31325.0","False","DOUBLE(Formula)","Opportunity Yearly Value"
"Opportunity__c","keep","61796.0","False","BOOLEAN","#Opportunity"
"Opportunity_owner_Reg__c","keep","62009.0","False","STRING(Formula)","Opportunity owner Reg"
"Oppty_Manager_Email__c","keep","60504.0","False","STRING","Oppty Manager Email"
"Oppty_Owner_Manager_Email__c","keep","60338.0","False","STRING(Formula)","Oppty Owner Manager Email"
"Order_Number_SO__c","remove_zero_populated_not_required","0.0","False","STRING","Order Number(SO #)"
"Order_Schedule_if_Won__c","keep","375.0","False","DATE","Order Schedule if Won"
"Other_Distribution_Channel__c","keep","3.0","False","STRING","Other Distribution Channel"
"Other_Reason_English__c","keep","497.0","False","STRING","Other Reason (English)"
"Other_Reason_for_Loss_CAT__c","keep","28032.0","False","STRING","Reason Comments"
"Other_Risk_Reason_Description__c","keep","560.0","False","STRING","Other Risk Reason Description"
"Our_Position_v_Competition__c","remove_zero_populated_not_required","0.0","False","STRING","Our Position v. Competition"
